Ky,Ngay,Time,Main,Special,DisplayLines,Label,SourceUrl,SourceDate
1300,27/01/2026,,"13,22,32,42,53,54",29,13 22 32 42 53 54 | ĐB 29,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-27-01-2026.html,27/01/2026
1299,24/01/2026,,"14,24,25,30,35,53",18,14 24 25 30 35 53 | ĐB 18,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-24-01-2026.html,24/01/2026
1298,22/01/2026,,"2,20,21,29,36,50",5,02 20 21 29 36 50 | ĐB 05,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-22-01-2026.html,22/01/2026
1297,20/01/2026,,"4,20,26,28,37,41",32,04 20 26 28 37 41 | ĐB 32,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-20-01-2026.html,20/01/2026
1296,17/01/2026,,"14,21,23,25,46,48",54,14 21 23 25 46 48 | ĐB 54,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-17-01-2026.html,17/01/2026
1295,15/01/2026,,"13,21,31,34,48,55",27,13 21 31 34 48 55 | ĐB 27,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-15-01-2026.html,15/01/2026
1294,13/01/2026,,"3,12,25,51,52,55",43,03 12 25 51 52 55 | ĐB 43,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-13-01-2026.html,13/01/2026
1293,10/01/2026,,"9,16,30,33,34,38",49,09 16 30 33 34 38 | ĐB 49,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-10-01-2026.html,10/01/2026
1292,08/01/2026,,"20,22,36,43,45,50",47,20 22 36 43 45 50 | ĐB 47,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-08-01-2026.html,08/01/2026
1291,06/01/2026,,"22,28,29,30,34,47",20,22 28 29 30 34 47 | ĐB 20,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-06-01-2026.html,06/01/2026
1290,03/01/2026,,"10,16,17,23,33,36",42,10 16 17 23 33 36 | ĐB 42,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-03-01-2026.html,03/01/2026
1289,01/01/2026,,"5,16,29,33,39,42",54,05 16 29 33 39 42 | ĐB 54,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-01-01-2026.html,01/01/2026
