rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
1,27,118,6,3,0.151671,0.130435,1.0,0.186441,0.408876
2,33,120,6,2,0.154242,0.086957,0.987348,0.166667,0.393202
3,9,101,4,12,0.12982,0.521739,0.697417,0.166337,0.385786
4,11,121,4,15,0.155527,0.652174,0.570901,0.168595,0.382082
5,23,120,6,0,0.154242,0.0,0.987348,0.151667,0.37281
6,31,102,4,10,0.131105,0.434783,0.691091,0.170588,0.367733
7,19,116,4,10,0.1491,0.434783,0.60253,0.184483,0.349342
8,18,112,5,2,0.143959,0.086957,0.832894,0.175,0.345447
9,21,101,2,21,0.12982,0.913043,0.287296,0.174257,0.342595
10,15,119,5,3,0.152956,0.130435,0.788614,0.159664,0.340491
11,6,108,5,0,0.138817,0.0,0.858197,0.166667,0.332438
12,3,113,5,0,0.145244,0.0,0.826568,0.166372,0.324818
13,4,97,4,3,0.124679,0.130435,0.72272,0.169072,0.314121
14,16,89,1,23,0.114396,1.0,0.158144,0.159551,0.313672
15,28,125,5,1,0.160668,0.043478,0.750659,0.1552,0.313134
16,22,123,5,0,0.158098,0.0,0.76331,0.164228,0.309268
17,20,122,2,21,0.156812,0.913043,0.154454,0.163934,0.308776
18,35,108,4,4,0.138817,0.173913,0.653137,0.172222,0.306813
19,2,97,3,9,0.124679,0.391304,0.517659,0.17732,0.306426
20,17,105,4,2,0.134961,0.086957,0.672114,0.169524,0.293419
21,1,116,4,3,0.1491,0.130435,0.60253,0.168966,0.285369
22,5,96,3,6,0.123393,0.26087,0.523985,0.172917,0.280971
23,12,88,3,4,0.113111,0.173913,0.574591,0.184091,0.277911
24,32,99,2,12,0.127249,0.521739,0.299947,0.167677,0.266042
25,10,125,2,16,0.160668,0.695652,0.135477,0.1792,0.263814
26,7,107,2,11,0.137532,0.478261,0.249341,0.196262,0.250966
27,34,135,4,2,0.173522,0.086957,0.482341,0.17037,0.248224
28,13,107,1,18,0.137532,0.782609,0.04428,0.173832,0.245832
29,8,113,3,5,0.145244,0.217391,0.416447,0.164602,0.244906
30,30,116,3,1,0.1491,0.043478,0.39747,0.153448,0.203356
31,26,115,3,0,0.147815,0.0,0.403795,0.158261,0.197135
32,29,114,1,13,0.14653,0.565217,0.0,0.161404,0.189283
33,14,130,3,1,0.167095,0.043478,0.308909,0.164615,0.18442
34,24,102,1,9,0.131105,0.391304,0.075909,0.168627,0.174091
35,25,110,1,7,0.141388,0.304348,0.025303,0.170909,0.145059
