rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
483,040,22,0,124,0.020696,0.247012,0.097921,0.136364,0.11226
484,976,22,0,124,0.020696,0.247012,0.097921,0.136364,0.11226
485,128,36,1,20,0.033866,0.039841,0.239168,0.111111,0.112101
486,101,37,1,21,0.034807,0.041833,0.234506,0.113514,0.111863
487,643,23,0,111,0.021637,0.221116,0.093258,0.165217,0.111735
488,955,13,0,42,0.01223,0.083665,0.139887,0.246154,0.111599
489,151,33,1,8,0.031044,0.015936,0.253157,0.115152,0.111478
490,424,13,0,88,0.01223,0.175299,0.139887,0.153846,0.111464
491,226,34,1,3,0.031985,0.005976,0.248494,0.129412,0.111221
492,107,36,1,15,0.033866,0.02988,0.239168,0.116667,0.11122
493,066,21,0,115,0.019755,0.229084,0.102584,0.142857,0.11109
494,730,15,0,69,0.014111,0.13745,0.130561,0.2,0.110892
495,247,21,0,114,0.019755,0.227092,0.102584,0.142857,0.110692
496,217,35,1,6,0.032926,0.011952,0.243831,0.125714,0.11056
497,950,18,0,93,0.016933,0.185259,0.116573,0.166667,0.110437
498,996,12,0,51,0.011289,0.101594,0.14455,0.216667,0.110404
499,159,37,1,5,0.034807,0.00996,0.234506,0.135135,0.109813
500,820,20,0,105,0.018815,0.209163,0.107247,0.15,0.109651
501,357,19,0,98,0.017874,0.195219,0.11191,0.157895,0.109558
502,156,36,1,7,0.033866,0.013944,0.239168,0.122222,0.109144
503,111,41,1,21,0.03857,0.041833,0.215854,0.121951,0.109084
504,726,21,0,119,0.019755,0.237052,0.102584,0.12381,0.108874
505,701,19,0,96,0.017874,0.191235,0.11191,0.157895,0.108761
506,571,17,0,75,0.015992,0.149402,0.121236,0.188235,0.108696
507,500,14,0,75,0.01317,0.149402,0.135224,0.171429,0.108685
508,291,23,0,112,0.021637,0.223108,0.093258,0.147826,0.108655
509,734,36,1,0,0.033866,0.0,0.239168,0.133333,0.108577
510,828,13,0,57,0.01223,0.113546,0.139887,0.2,0.108344
511,165,35,1,3,0.032926,0.005976,0.243831,0.12,0.108222
512,001,20,0,96,0.018815,0.191235,0.107247,0.16,0.108065
513,477,23,0,119,0.021637,0.237052,0.093258,0.130435,0.107966
514,332,19,0,83,0.017874,0.165339,0.11191,0.178947,0.107792
515,214,22,0,108,0.020696,0.215139,0.097921,0.145455,0.107704
516,513,19,0,88,0.017874,0.175299,0.11191,0.168421,0.107679
517,922,16,0,70,0.015052,0.139442,0.125899,0.1875,0.107674
518,093,20,0,100,0.018815,0.199203,0.107247,0.15,0.107659
519,143,35,1,4,0.032926,0.007968,0.243831,0.114286,0.107478
520,573,21,0,101,0.019755,0.201195,0.102584,0.152381,0.107417
521,688,14,0,43,0.01317,0.085657,0.135224,0.228571,0.107364
522,240,26,0,125,0.024459,0.249004,0.079269,0.130769,0.107073
523,167,34,1,7,0.031985,0.013944,0.248494,0.1,0.106933
524,414,22,0,106,0.020696,0.211155,0.097921,0.145455,0.106907
525,983,16,0,80,0.015052,0.159363,0.125899,0.1625,0.106658
526,089,13,0,60,0.01223,0.119522,0.139887,0.184615,0.106463
527,112,37,1,10,0.034807,0.01992,0.234506,0.108108,0.106399
528,000,17,0,75,0.015992,0.149402,0.121236,0.176471,0.106343
529,029,21,0,98,0.019755,0.195219,0.102584,0.152381,0.106222
530,404,11,0,55,0.010348,0.109562,0.149213,0.181818,0.106144
531,731,22,0,99,0.020696,0.197211,0.097921,0.154545,0.105937
532,920,22,0,99,0.020696,0.197211,0.097921,0.154545,0.105937
533,584,17,0,68,0.015992,0.135458,0.121236,0.188235,0.105907
534,234,18,0,76,0.016933,0.151394,0.116573,0.177778,0.105886
535,306,22,0,103,0.020696,0.205179,0.097921,0.145455,0.105712
536,764,20,0,85,0.018815,0.169323,0.107247,0.17,0.105683
537,600,16,0,65,0.015052,0.129482,0.125899,0.1875,0.105682
538,475,20,0,89,0.018815,0.177291,0.107247,0.16,0.105277
539,780,25,0,119,0.023518,0.237052,0.083932,0.128,0.105246
540,481,14,0,59,0.01317,0.11753,0.135224,0.185714,0.105167
541,992,9,0,26,0.008467,0.051793,0.158539,0.222222,0.104905
542,272,17,0,71,0.015992,0.141434,0.121236,0.176471,0.104749
543,735,17,0,65,0.015992,0.129482,0.121236,0.188235,0.104712
544,657,16,0,56,0.015052,0.111554,0.125899,0.2,0.104596
