rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
1,8,164,7,5,0.120235,0.125,1.0,0.136585,0.388387
2,28,126,6,2,0.092375,0.05,0.951314,0.146032,0.352313
3,39,149,5,13,0.109238,0.325,0.744938,0.148993,0.351051
4,1,154,6,5,0.112903,0.125,0.878931,0.12987,0.348524
5,16,145,5,4,0.106305,0.1,0.755278,0.14069,0.306613
6,23,158,5,1,0.115836,0.025,0.721672,0.127848,0.281822
7,54,137,0,40,0.10044,1.0,0.041361,0.150365,0.272613
8,40,155,4,6,0.113636,0.15,0.582508,0.131613,0.265166
9,5,149,4,2,0.109238,0.05,0.598018,0.134228,0.249022
10,24,153,3,11,0.11217,0.275,0.440758,0.134641,0.247807
11,2,132,3,9,0.096774,0.225,0.495045,0.124242,0.247394
12,25,138,4,0,0.101173,0.0,0.626454,0.144928,0.247274
13,48,158,3,11,0.115836,0.275,0.427833,0.139241,0.245949
14,18,153,4,1,0.11217,0.025,0.587678,0.137255,0.242405
15,34,168,4,2,0.123167,0.05,0.548901,0.135714,0.238763
16,20,152,3,8,0.111437,0.2,0.443343,0.143421,0.235118
17,32,166,4,0,0.121701,0.0,0.554072,0.137349,0.230202
18,37,129,2,13,0.094575,0.325,0.355881,0.137984,0.227734
19,53,160,3,7,0.117302,0.175,0.422663,0.14,0.224989
20,27,135,2,12,0.098974,0.3,0.340371,0.137778,0.219359
21,45,141,1,21,0.103372,0.525,0.177941,0.140426,0.217479
22,3,158,3,5,0.115836,0.125,0.427833,0.141772,0.216455
23,21,148,3,4,0.108504,0.1,0.453684,0.133784,0.215413
24,12,154,1,21,0.112903,0.525,0.144334,0.151948,0.212561
25,17,139,2,11,0.101906,0.275,0.33003,0.126619,0.209905
26,15,131,3,1,0.096041,0.025,0.49763,0.132824,0.209666
27,4,123,3,0,0.090176,0.0,0.518311,0.133333,0.209213
28,36,138,2,10,0.101173,0.25,0.332615,0.144928,0.209122
29,19,144,2,10,0.105572,0.25,0.317105,0.134722,0.203747
30,11,156,3,2,0.11437,0.05,0.433003,0.146154,0.203443
31,9,153,0,28,0.11217,0.7,0.0,0.146405,0.202932
32,13,151,3,1,0.110704,0.025,0.445928,0.135099,0.19901
33,50,139,0,26,0.101906,0.65,0.036191,0.133813,0.198192
34,31,150,3,1,0.109971,0.025,0.448514,0.126667,0.197879
35,47,156,2,10,0.11437,0.25,0.286084,0.134615,0.197059
36,14,140,2,8,0.102639,0.2,0.327445,0.14,0.197025
37,43,163,3,1,0.119501,0.025,0.414907,0.141104,0.193544
38,10,141,0,25,0.103372,0.625,0.031021,0.139007,0.193119
39,41,171,3,2,0.125367,0.05,0.394227,0.134503,0.192779
40,49,147,2,8,0.107771,0.2,0.309349,0.126531,0.190442
41,26,145,2,7,0.106305,0.175,0.31452,0.133793,0.188006
42,38,146,2,6,0.107038,0.15,0.311935,0.138356,0.183363
43,7,132,2,4,0.096774,0.1,0.348126,0.142424,0.181955
44,46,152,2,6,0.111437,0.15,0.296424,0.131579,0.178674
45,55,151,2,5,0.110704,0.125,0.299009,0.139073,0.175728
46,52,148,2,4,0.108504,0.1,0.306764,0.143243,0.173229
47,51,168,1,15,0.123167,0.375,0.108143,0.140476,0.172488
48,29,165,1,14,0.120968,0.35,0.115898,0.129697,0.166999
49,6,131,2,0,0.096041,0.0,0.350711,0.137405,0.161507
50,42,155,2,2,0.113636,0.05,0.288669,0.141935,0.159079
51,22,175,2,3,0.128299,0.075,0.236967,0.141714,0.152923
52,44,155,2,0,0.113636,0.0,0.288669,0.140645,0.148821
53,33,156,2,0,0.11437,0.0,0.286084,0.139744,0.148085
54,30,143,1,7,0.104839,0.175,0.17277,0.138462,0.145975
55,35,138,1,5,0.101173,0.125,0.185696,0.123188,0.135698
