rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
94,138,43,2,16,0.040528,0.032,0.431668,0.111628,0.170384
95,637,18,0,221,0.016965,0.442,0.144769,0.166667,0.170254
96,633,15,0,181,0.014138,0.362,0.158341,0.226667,0.169477
97,517,19,0,226,0.017908,0.452,0.140245,0.157895,0.169425
98,121,38,2,3,0.035815,0.006,0.454288,0.105263,0.169284
99,762,13,0,195,0.012253,0.39,0.167389,0.184615,0.168816
100,126,42,2,4,0.039585,0.008,0.436192,0.119048,0.168143
101,100,44,2,16,0.04147,0.032,0.427144,0.104545,0.167893
102,615,20,0,220,0.01885,0.44,0.135721,0.16,0.166371
103,858,12,0,178,0.01131,0.356,0.171913,0.2,0.166167
104,047,16,0,187,0.01508,0.374,0.153817,0.1875,0.162969
105,370,21,0,211,0.019793,0.422,0.131197,0.161905,0.162078
106,910,20,0,214,0.01885,0.428,0.135721,0.15,0.161971
107,948,12,1,17,0.01131,0.034,0.371913,0.2,0.161767
108,364,14,0,172,0.013195,0.344,0.162865,0.2,0.161618
109,994,14,1,22,0.013195,0.044,0.362865,0.2,0.161618
110,609,12,1,8,0.01131,0.016,0.371913,0.216667,0.1615
111,146,43,2,0,0.040528,0.0,0.431668,0.097674,0.161194
112,712,15,1,16,0.014138,0.032,0.358341,0.213333,0.16081
113,888,15,1,16,0.014138,0.032,0.358341,0.213333,0.16081
114,110,47,2,6,0.044298,0.012,0.413572,0.102128,0.160187
115,798,13,1,7,0.012253,0.014,0.367389,0.215385,0.159769
116,108,48,2,4,0.04524,0.008,0.409048,0.108333,0.159553
117,292,13,1,21,0.012253,0.042,0.367389,0.184615,0.159216
118,042,10,0,145,0.009425,0.29,0.180961,0.22,0.159116
119,907,15,1,8,0.014138,0.016,0.358341,0.213333,0.15761
120,090,17,1,14,0.016023,0.028,0.349293,0.211765,0.157548
121,823,15,1,12,0.014138,0.024,0.358341,0.2,0.156544
122,561,13,1,14,0.012253,0.028,0.367389,0.184615,0.156416
123,237,17,1,11,0.016023,0.022,0.349293,0.211765,0.156348
124,958,14,1,23,0.013195,0.046,0.362865,0.171429,0.156304
125,495,14,1,15,0.013195,0.03,0.362865,0.185714,0.155961
126,034,12,1,9,0.01131,0.018,0.371913,0.183333,0.155234
127,274,13,1,11,0.012253,0.022,0.367389,0.184615,0.155216
128,295,20,0,182,0.01885,0.364,0.135721,0.18,0.155171
129,354,17,1,19,0.016023,0.038,0.349293,0.188235,0.154842
130,125,51,2,7,0.048068,0.014,0.395476,0.094118,0.154687
131,876,19,1,18,0.017908,0.036,0.340245,0.2,0.154646
132,254,14,1,11,0.013195,0.022,0.362865,0.185714,0.154361
133,544,12,0,140,0.01131,0.28,0.171913,0.216667,0.1543
134,904,16,1,20,0.01508,0.04,0.353817,0.175,0.153669
135,853,15,0,168,0.014138,0.336,0.158341,0.173333,0.15361
136,286,17,1,9,0.016023,0.018,0.349293,0.2,0.153195
137,884,19,0,180,0.017908,0.36,0.140245,0.168421,0.15313
138,301,18,1,22,0.016965,0.044,0.344769,0.177778,0.152876
139,779,18,1,22,0.016965,0.044,0.344769,0.177778,0.152876
140,363,16,1,18,0.01508,0.036,0.353817,0.175,0.152869
141,813,14,1,7,0.013195,0.014,0.362865,0.185714,0.152761
142,097,16,1,5,0.01508,0.01,0.353817,0.2,0.152669
143,900,16,1,5,0.01508,0.01,0.353817,0.2,0.152669
144,926,16,1,11,0.01508,0.022,0.353817,0.1875,0.152569
145,282,11,0,141,0.010368,0.282,0.176437,0.2,0.152441
146,778,16,1,10,0.01508,0.02,0.353817,0.1875,0.152169
147,395,15,1,1,0.014138,0.002,0.358341,0.2,0.152144
148,064,14,1,5,0.013195,0.01,0.362865,0.185714,0.151961
149,932,14,0,140,0.013195,0.28,0.162865,0.214286,0.151675
150,787,16,1,15,0.01508,0.03,0.353817,0.175,0.151669
151,838,17,1,11,0.016023,0.022,0.349293,0.188235,0.151642
152,758,12,0,124,0.01131,0.248,0.171913,0.233333,0.151234
153,990,18,1,23,0.016965,0.046,0.344769,0.166667,0.151054
154,355,17,1,15,0.016023,0.03,0.349293,0.176471,0.150889
155,520,24,0,192,0.02262,0.384,0.117625,0.158333,0.15054
156,717,15,1,3,0.014138,0.006,0.358341,0.186667,0.150277
157,639,16,1,11,0.01508,0.022,0.353817,0.175,0.150069
158,598,17,1,6,0.016023,0.012,0.349293,0.188235,0.149642
159,738,12,0,145,0.01131,0.29,0.171913,0.183333,0.149634
160,975,22,1,22,0.020735,0.044,0.326673,0.181818,0.149386
161,582,18,1,13,0.016965,0.026,0.344769,0.177778,0.149276
162,693,16,0,152,0.01508,0.304,0.153817,0.1875,0.148969
163,308,18,1,12,0.016965,0.024,0.344769,0.177778,0.148876
164,390,23,1,18,0.021678,0.036,0.322149,0.191304,0.148609
165,684,20,1,15,0.01885,0.03,0.335721,0.18,0.148371
166,471,17,1,20,0.016023,0.04,0.349293,0.152941,0.148183
167,467,16,1,12,0.01508,0.024,0.353817,0.1625,0.147969
168,988,16,1,17,0.01508,0.034,0.353817,0.15,0.147469
169,708,19,1,21,0.017908,0.042,0.340245,0.157895,0.147425
170,645,17,1,18,0.016023,0.036,0.349293,0.152941,0.147383
171,760,21,1,19,0.019793,0.038,0.331197,0.171429,0.147183
172,563,20,1,22,0.01885,0.044,0.335721,0.16,0.147171
173,279,19,0,165,0.017908,0.33,0.140245,0.168421,0.14713
174,270,18,1,13,0.016965,0.026,0.344769,0.166667,0.147054
175,464,19,1,20,0.017908,0.04,0.340245,0.157895,0.147025
176,055,21,1,23,0.019793,0.046,0.331197,0.161905,0.146878
177,749,15,0,131,0.014138,0.262,0.158341,0.213333,0.14681
178,409,21,1,13,0.019793,0.026,0.331197,0.180952,0.146687
179,899,16,1,15,0.01508,0.03,0.353817,0.15,0.146669
180,623,16,0,146,0.01508,0.292,0.153817,0.1875,0.146569
181,316,17,1,4,0.016023,0.008,0.349293,0.176471,0.146489
182,825,21,1,22,0.019793,0.044,0.331197,0.161905,0.146478
183,591,20,1,15,0.01885,0.03,0.335721,0.17,0.146371
184,697,15,1,13,0.014138,0.026,0.358341,0.146667,0.146277
185,775,19,1,18,0.017908,0.036,0.340245,0.157895,0.146225
186,343,18,1,22,0.016965,0.044,0.344769,0.144444,0.146209
187,244,18,0,160,0.016965,0.32,0.144769,0.166667,0.145854
188,704,19,1,17,0.017908,0.034,0.340245,0.157895,0.145825
189,737,17,1,14,0.016023,0.028,0.349293,0.152941,0.145783
190,030,19,1,22,0.017908,0.044,0.340245,0.147368,0.145719
191,417,17,1,2,0.016023,0.004,0.349293,0.176471,0.145689
192,651,21,1,15,0.019793,0.03,0.331197,0.171429,0.145583
193,004,20,1,23,0.01885,0.046,0.335721,0.15,0.145571
194,416,20,1,18,0.01885,0.036,0.335721,0.16,0.145571
195,629,20,1,18,0.01885,0.036,0.335721,0.16,0.145571
196,854,19,1,16,0.017908,0.032,0.340245,0.157895,0.145425
197,407,21,1,5,0.019793,0.01,0.331197,0.190476,0.145392
198,552,22,1,21,0.020735,0.042,0.326673,0.163636,0.14535
199,774,15,1,4,0.014138,0.008,0.358341,0.16,0.145344
200,682,18,0,158,0.016965,0.316,0.144769,0.166667,0.145054
201,426,19,1,15,0.017908,0.03,0.340245,0.157895,0.145025
202,536,21,1,23,0.019793,0.046,0.331197,0.152381,0.144973
203,514,16,1,17,0.01508,0.034,0.353817,0.1375,0.144969
204,883,17,1,0,0.016023,0.0,0.349293,0.176471,0.144889
205,558,20,1,16,0.01885,0.032,0.335721,0.16,0.144771
206,318,19,1,9,0.017908,0.018,0.340245,0.168421,0.14473
207,929,21,1,22,0.019793,0.044,0.331197,0.152381,0.144573
208,344,22,1,23,0.020735,0.046,0.326673,0.154545,0.144332
209,071,19,1,8,0.017908,0.016,0.340245,0.168421,0.14433
210,328,19,1,8,0.017908,0.016,0.340245,0.168421,0.14433
211,915,13,0,126,0.012253,0.252,0.167389,0.2,0.144293
212,580,17,1,10,0.016023,0.02,0.349293,0.152941,0.144183
213,562,17,0,154,0.016023,0.308,0.149293,0.164706,0.144136
214,788,21,1,16,0.019793,0.032,0.331197,0.161905,0.144078
215,366,24,1,17,0.02262,0.034,0.317625,0.175,0.143874
216,483,16,1,8,0.01508,0.016,0.353817,0.15,0.143869
217,521,18,1,5,0.016965,0.01,0.344769,0.166667,0.143854
218,702,18,1,5,0.016965,0.01,0.344769,0.166667,0.143854
219,074,19,1,12,0.017908,0.024,0.340245,0.157895,0.143825
220,961,22,1,8,0.020735,0.016,0.326673,0.181818,0.143786
221,304,17,1,3,0.016023,0.006,0.349293,0.164706,0.143736
222,196,17,0,135,0.016023,0.27,0.149293,0.2,0.143595
223,873,21,1,10,0.019793,0.02,0.331197,0.171429,0.143583
224,977,20,1,13,0.01885,0.026,0.335721,0.16,0.143571
225,761,21,1,14,0.019793,0.028,0.331197,0.161905,0.143278
226,362,23,1,22,0.021678,0.044,0.322149,0.156522,0.143252
227,794,20,1,17,0.01885,0.034,0.335721,0.15,0.143171
228,872,20,1,12,0.01885,0.024,0.335721,0.16,0.143171
229,435,19,1,5,0.017908,0.01,0.340245,0.168421,0.14313
230,744,19,1,5,0.017908,0.01,0.340245,0.168421,0.14313
231,534,21,1,23,0.019793,0.046,0.331197,0.142857,0.143068
232,388,21,1,18,0.019793,0.036,0.331197,0.152381,0.142973
233,676,21,1,13,0.019793,0.026,0.331197,0.161905,0.142878
234,680,23,1,21,0.021678,0.042,0.322149,0.156522,0.142852
235,023,18,1,2,0.016965,0.004,0.344769,0.166667,0.142654
236,586,21,1,12,0.019793,0.024,0.331197,0.161905,0.142478
237,681,18,0,146,0.016965,0.292,0.144769,0.177778,0.142476
238,442,18,1,1,0.016965,0.002,0.344769,0.166667,0.142254
239,890,25,1,23,0.023563,0.046,0.313101,0.16,0.142199
240,506,23,1,15,0.021678,0.03,0.322149,0.165217,0.142191
241,641,21,1,16,0.019793,0.032,0.331197,0.152381,0.142173
242,568,20,1,14,0.01885,0.028,0.335721,0.15,0.141971
243,930,21,1,15,0.019793,0.03,0.331197,0.152381,0.141773
244,952,21,1,15,0.019793,0.03,0.331197,0.152381,0.141773
245,069,20,1,3,0.01885,0.006,0.335721,0.17,0.141571
246,703,23,1,22,0.021678,0.044,0.322149,0.147826,0.141513
247,577,24,1,19,0.02262,0.038,0.317625,0.158333,0.14134
248,650,20,0,157,0.01885,0.314,0.135721,0.16,0.141171
249,754,23,1,21,0.021678,0.042,0.322149,0.147826,0.141113
250,777,18,1,3,0.016965,0.006,0.344769,0.155556,0.140831
251,567,17,0,128,0.016023,0.256,0.149293,0.2,0.140795
252,096,20,1,6,0.01885,0.012,0.335721,0.16,0.140771
253,187,20,1,6,0.01885,0.012,0.335721,0.16,0.140771
254,524,20,1,6,0.01885,0.012,0.335721,0.16,0.140771
255,038,21,1,17,0.019793,0.034,0.331197,0.142857,0.140668
256,940,21,1,17,0.019793,0.034,0.331197,0.142857,0.140668
257,228,25,1,15,0.023563,0.03,0.313101,0.168,0.140599
258,549,23,1,15,0.021678,0.03,0.322149,0.156522,0.140452
259,705,22,1,22,0.020735,0.044,0.326673,0.136364,0.140295
260,833,23,1,10,0.021678,0.02,0.322149,0.165217,0.140191
261,076,21,0,161,0.019793,0.322,0.131197,0.152381,0.140173
262,439,23,1,22,0.021678,0.044,0.322149,0.13913,0.139774
263,896,22,1,16,0.020735,0.032,0.326673,0.145455,0.139713
264,753,21,1,5,0.019793,0.01,0.331197,0.161905,0.139678
265,877,21,1,5,0.019793,0.01,0.331197,0.161905,0.139678
266,809,23,1,17,0.021678,0.034,0.322149,0.147826,0.139513
267,516,22,0,170,0.020735,0.34,0.126673,0.136364,0.139495
268,507,25,1,16,0.023563,0.032,0.313101,0.16,0.139399
269,622,21,1,9,0.019793,0.018,0.331197,0.152381,0.139373
270,298,19,1,11,0.017908,0.022,0.340245,0.136842,0.139214
271,393,20,1,7,0.01885,0.014,0.335721,0.15,0.139171
272,725,23,0,166,0.021678,0.332,0.122149,0.147826,0.139113
273,795,21,0,163,0.019793,0.326,0.131197,0.142857,0.139068
274,781,19,1,0,0.017908,0.0,0.340245,0.157895,0.139025
275,997,19,1,0,0.017908,0.0,0.340245,0.157895,0.139025
276,840,11,0,98,0.010368,0.196,0.176437,0.218182,0.138878
277,973,24,1,17,0.02262,0.034,0.317625,0.15,0.138874
278,408,16,0,133,0.01508,0.266,0.153817,0.175,0.138869
279,547,24,1,21,0.02262,0.042,0.317625,0.141667,0.138807
280,014,22,1,18,0.020735,0.036,0.326673,0.136364,0.138695
281,590,22,1,13,0.020735,0.026,0.326673,0.145455,0.138513
282,258,23,1,10,0.021678,0.02,0.322149,0.156522,0.138452
283,361,22,1,8,0.020735,0.016,0.326673,0.154545,0.138332
284,911,17,1,1,0.016023,0.002,0.349293,0.141176,0.13823
285,925,24,1,11,0.02262,0.022,0.317625,0.158333,0.13814
286,959,21,0,151,0.019793,0.302,0.131197,0.161905,0.138078
287,756,23,1,22,0.021678,0.044,0.322149,0.130435,0.138035
288,020,22,1,7,0.020735,0.014,0.326673,0.154545,0.137932
289,891,22,1,7,0.020735,0.014,0.326673,0.154545,0.137932
290,012,23,1,13,0.021678,0.026,0.322149,0.147826,0.137913
291,501,26,1,14,0.024505,0.028,0.308577,0.161538,0.137832
292,382,21,0,159,0.019793,0.318,0.131197,0.142857,0.137468
293,938,15,0,114,0.014138,0.228,0.158341,0.2,0.137344
294,412,24,1,17,0.02262,0.034,0.317625,0.141667,0.137207
295,949,20,1,2,0.01885,0.004,0.335721,0.15,0.137171
296,529,24,1,21,0.02262,0.042,0.317625,0.133333,0.13714
297,593,19,0,140,0.017908,0.28,0.140245,0.168421,0.13713
298,941,23,1,15,0.021678,0.03,0.322149,0.13913,0.136974
299,826,20,1,11,0.01885,0.022,0.335721,0.13,0.136771
300,860,16,0,134,0.01508,0.268,0.153817,0.1625,0.136769
301,491,24,1,20,0.02262,0.04,0.317625,0.133333,0.13674
302,198,22,1,4,0.020735,0.008,0.326673,0.154545,0.136732
303,017,21,1,2,0.019793,0.004,0.331197,0.152381,0.136573
304,484,24,1,23,0.02262,0.046,0.317625,0.125,0.136274
305,599,24,1,2,0.02262,0.004,0.317625,0.166667,0.136207
306,789,16,0,120,0.01508,0.24,0.153817,0.1875,0.136169
307,498,22,1,2,0.020735,0.004,0.326673,0.154545,0.135932
308,832,25,0,173,0.023563,0.346,0.113101,0.128,0.135799
309,715,21,1,0,0.019793,0.0,0.331197,0.152381,0.135773
310,850,21,1,0,0.019793,0.0,0.331197,0.152381,0.135773
311,683,22,1,6,0.020735,0.012,0.326673,0.145455,0.135713
312,273,24,1,13,0.02262,0.026,0.317625,0.141667,0.135607
313,965,23,1,7,0.021678,0.014,0.322149,0.147826,0.135513
314,848,14,0,121,0.013195,0.242,0.162865,0.171429,0.135504
315,405,18,0,123,0.016965,0.246,0.144769,0.188889,0.135498
316,572,23,1,11,0.021678,0.022,0.322149,0.13913,0.135374
317,583,23,1,6,0.021678,0.012,0.322149,0.147826,0.135113
