rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
279,584,15,0,126,0.021216,0.422819,0.080107,0.186667,0.152294
280,443,12,0,123,0.016973,0.412752,0.104139,0.166667,0.152217
281,031,13,1,15,0.018388,0.050336,0.332109,0.184615,0.152139
282,681,13,1,15,0.018388,0.050336,0.332109,0.184615,0.152139
283,293,11,0,110,0.015559,0.369128,0.11215,0.2,0.152138
284,252,8,0,86,0.011315,0.288591,0.136182,0.25,0.151967
285,606,8,0,86,0.011315,0.288591,0.136182,0.25,0.151967
286,495,15,1,20,0.021216,0.067114,0.316088,0.186667,0.151948
287,092,14,0,127,0.019802,0.426174,0.088117,0.171429,0.151896
288,512,12,1,7,0.016973,0.02349,0.34012,0.2,0.151826
289,261,5,0,68,0.007072,0.228188,0.160214,0.28,0.151823
290,546,12,1,2,0.016973,0.006711,0.34012,0.216667,0.151804
291,407,10,1,1,0.014144,0.003356,0.356142,0.2,0.151757
292,409,15,0,133,0.021216,0.446309,0.080107,0.16,0.151659
293,697,14,1,21,0.019802,0.07047,0.324099,0.171429,0.15155
294,365,13,1,14,0.018388,0.04698,0.332109,0.184615,0.151468
295,741,13,1,14,0.018388,0.04698,0.332109,0.184615,0.151468
296,709,12,1,11,0.016973,0.036913,0.34012,0.183333,0.151177
297,750,12,1,11,0.016973,0.036913,0.34012,0.183333,0.151177
298,910,11,1,3,0.015559,0.010067,0.348131,0.2,0.15112
299,318,13,1,18,0.018388,0.060403,0.332109,0.169231,0.151076
300,549,11,1,8,0.015559,0.026846,0.348131,0.181818,0.15084
301,312,11,0,108,0.015559,0.362416,0.11215,0.2,0.150796
302,141,10,0,105,0.014144,0.352349,0.12016,0.2,0.150761
303,983,10,0,105,0.014144,0.352349,0.12016,0.2,0.150761
304,843,8,0,84,0.011315,0.281879,0.136182,0.25,0.150625
305,357,12,1,5,0.016973,0.016779,0.34012,0.2,0.150484
306,046,12,1,0,0.016973,0.0,0.34012,0.216667,0.150461
307,996,12,1,0,0.016973,0.0,0.34012,0.216667,0.150461
308,840,13,1,17,0.018388,0.057047,0.332109,0.169231,0.150405
309,478,7,0,70,0.009901,0.234899,0.144192,0.285714,0.150351
310,106,11,0,107,0.015559,0.35906,0.11215,0.2,0.150125
311,324,11,0,107,0.015559,0.35906,0.11215,0.2,0.150125
312,632,8,0,83,0.011315,0.278523,0.136182,0.25,0.149954
313,192,15,1,13,0.021216,0.043624,0.316088,0.2,0.149916
314,295,12,1,14,0.016973,0.04698,0.34012,0.166667,0.149857
315,084,13,1,7,0.018388,0.02349,0.332109,0.2,0.149847
316,493,12,1,9,0.016973,0.030201,0.34012,0.183333,0.149835
317,860,12,1,4,0.016973,0.013423,0.34012,0.2,0.149813
318,915,11,1,1,0.015559,0.003356,0.348131,0.2,0.149778
319,826,16,1,23,0.022631,0.077181,0.308077,0.175,0.149649
320,169,13,1,2,0.018388,0.006711,0.332109,0.215385,0.149568
321,960,13,1,2,0.018388,0.006711,0.332109,0.215385,0.149568
322,757,12,0,114,0.016973,0.38255,0.104139,0.183333,0.14951
323,986,11,1,6,0.015559,0.020134,0.348131,0.181818,0.149497
324,786,16,1,19,0.022631,0.063758,0.308077,0.1875,0.149464
325,712,14,1,22,0.019802,0.073826,0.324099,0.157143,0.149364
326,035,15,1,20,0.021216,0.067114,0.316088,0.173333,0.149281
327,813,15,1,20,0.021216,0.067114,0.316088,0.173333,0.149281
328,253,12,1,8,0.016973,0.026846,0.34012,0.183333,0.149164
329,525,11,1,0,0.015559,0.0,0.348131,0.2,0.149107
330,288,6,0,51,0.008487,0.171141,0.152203,0.333333,0.149102
331,988,11,0,100,0.015559,0.33557,0.11215,0.218182,0.149063
332,793,11,1,5,0.015559,0.016779,0.348131,0.181818,0.148826
333,978,13,1,10,0.018388,0.033557,0.332109,0.184615,0.148784
334,282,15,1,11,0.021216,0.036913,0.316088,0.2,0.148574
335,593,13,0,106,0.018388,0.355705,0.096128,0.215385,0.148573
336,513,14,1,8,0.019802,0.026846,0.324099,0.2,0.148539
337,874,13,1,14,0.018388,0.04698,0.332109,0.169231,0.148391
338,797,11,1,4,0.015559,0.013423,0.348131,0.181818,0.148155
339,308,13,1,9,0.018388,0.030201,0.332109,0.184615,0.148112
340,962,15,1,22,0.021216,0.073826,0.316088,0.16,0.147956
341,146,15,1,14,0.021216,0.04698,0.316088,0.186667,0.147921
342,259,15,1,10,0.021216,0.033557,0.316088,0.2,0.147903
343,828,14,1,7,0.019802,0.02349,0.324099,0.2,0.147868
344,123,12,1,11,0.016973,0.036913,0.34012,0.166667,0.147844
345,330,12,1,6,0.016973,0.020134,0.34012,0.183333,0.147821
346,460,17,1,19,0.024045,0.063758,0.300067,0.188235,0.147632
347,532,8,0,72,0.011315,0.241611,0.136182,0.275,0.147571
348,471,11,1,3,0.015559,0.010067,0.348131,0.181818,0.147484
349,179,11,0,103,0.015559,0.345638,0.11215,0.2,0.14744
350,635,10,0,100,0.014144,0.33557,0.12016,0.2,0.147405
351,970,13,1,17,0.018388,0.057047,0.332109,0.153846,0.147328
352,961,18,0,140,0.02546,0.469799,0.056075,0.144444,0.147309
353,325,13,1,7,0.018388,0.02349,0.332109,0.184615,0.14677
354,823,13,1,7,0.018388,0.02349,0.332109,0.184615,0.14677
355,628,14,1,1,0.019802,0.003356,0.324099,0.214286,0.146699
356,412,15,1,16,0.021216,0.053691,0.316088,0.173333,0.146596
357,824,16,1,11,0.022631,0.036913,0.308077,0.2,0.146595
358,950,12,1,9,0.016973,0.030201,0.34012,0.166667,0.146502
359,711,12,1,4,0.016973,0.013423,0.34012,0.183333,0.146479
360,006,13,1,11,0.018388,0.036913,0.332109,0.169231,0.146378
361,005,16,1,18,0.022631,0.060403,0.308077,0.175,0.146293
362,990,13,1,6,0.018388,0.020134,0.332109,0.184615,0.146099
363,180,14,1,17,0.019802,0.057047,0.324099,0.157143,0.146008
364,491,13,1,15,0.018388,0.050336,0.332109,0.153846,0.145985
365,724,13,1,15,0.018388,0.050336,0.332109,0.153846,0.145985
366,751,17,1,20,0.024045,0.067114,0.300067,0.176471,0.145951
367,049,13,0,111,0.018388,0.372483,0.096128,0.184615,0.145774
368,658,17,1,23,0.024045,0.077181,0.300067,0.164706,0.145611
369,358,14,1,16,0.019802,0.053691,0.324099,0.157143,0.145337
370,995,14,1,16,0.019802,0.053691,0.324099,0.157143,0.145337
371,113,15,1,22,0.021216,0.073826,0.316088,0.146667,0.14529
372,868,15,1,22,0.021216,0.073826,0.316088,0.146667,0.14529
373,152,15,1,18,0.021216,0.060403,0.316088,0.16,0.145272
