rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
1,26,80,6,10,0.144144,0.555556,0.991976,0.165,0.484947
2,19,80,6,8,0.144144,0.444444,0.991976,0.2125,0.472225
3,27,79,6,5,0.142342,0.277778,1.0,0.192405,0.436739
4,32,73,5,4,0.131532,0.222222,0.862588,0.183562,0.379393
5,5,67,2,18,0.120721,1.0,0.354062,0.170149,0.376465
6,8,78,4,9,0.140541,0.5,0.636911,0.189744,0.371184
7,14,100,6,2,0.18018,0.111111,0.831494,0.18,0.361725
8,4,65,5,0,0.117117,0.0,0.92678,0.190769,0.351323
9,30,95,6,0,0.171171,0.0,0.871615,0.157895,0.344415
10,18,75,5,1,0.135135,0.055556,0.84654,0.178667,0.341347
11,13,82,5,1,0.147748,0.055556,0.790371,0.195122,0.331571
12,15,74,4,4,0.133333,0.222222,0.669007,0.17027,0.319201
13,33,81,2,14,0.145946,0.777778,0.241725,0.177778,0.307412
14,1,85,3,9,0.153153,0.5,0.395186,0.174118,0.299325
15,7,86,3,8,0.154955,0.444444,0.387161,0.202326,0.291989
16,17,69,3,5,0.124324,0.277778,0.523571,0.2,0.289924
17,21,73,4,0,0.131532,0.0,0.677031,0.194521,0.281473
18,29,82,3,7,0.147748,0.388889,0.419258,0.165854,0.28105
19,16,66,2,9,0.118919,0.5,0.362086,0.178788,0.280059
20,9,72,3,4,0.12973,0.222222,0.499498,0.180556,0.269324
21,3,86,3,6,0.154955,0.333333,0.387161,0.183721,0.266046
22,11,90,2,11,0.162162,0.611111,0.169509,0.18,0.257723
23,23,88,4,1,0.158559,0.055556,0.55667,0.152273,0.256134
24,2,73,3,3,0.131532,0.166667,0.491474,0.178082,0.255852
25,12,65,3,1,0.117117,0.055556,0.555667,0.190769,0.2511
26,24,73,3,1,0.131532,0.055556,0.491474,0.189041,0.235821
27,6,70,3,0,0.126126,0.0,0.515547,0.182857,0.229073
28,22,84,3,2,0.151351,0.111111,0.40321,0.180952,0.224781
29,28,91,3,3,0.163964,0.166667,0.347041,0.164835,0.219602
30,34,90,3,2,0.162162,0.111111,0.355065,0.177778,0.212946
31,31,69,2,2,0.124324,0.111111,0.338014,0.191304,0.199185
32,10,88,1,10,0.158559,0.555556,0.0,0.202273,0.199133
33,35,74,1,3,0.133333,0.166667,0.112337,0.189189,0.144872
34,25,85,2,0,0.153153,0.0,0.209629,0.162353,0.141305
35,20,87,1,4,0.156757,0.222222,0.008024,0.181609,0.130201
